,SalePrice
1461,126595.68
1462,164200.23
1463,181004.92
1464,182634.36
1465,190305.14
1466,178406.75
1467,172737.78
1468,163598.58
1469,180603.81
1470,123040.914
1471,203031.6
1472,96607.16
1473,99225.8
1474,150448.19
1475,124591.45
1476,366680.25
1477,252108.84
1478,293980.72
1479,290373.75
1480,482362.5
1481,300985.8
1482,207760.73
1483,183627.48
1484,167016.56
1485,187854.84
1486,193130.0
1487,320903.75
1488,231982.5
1489,194547.39
1490,219783.81
1491,190607.73
1492,85225.086
1493,188468.55
1494,288343.0
1495,281447.53
1496,240779.38
1497,177837.11
1498,161927.61
1499,161819.92
1500,155372.94
1501,170450.3
1502,152912.48
1503,309955.97
1504,231531.66
1505,217794.33
1506,178852.02
1507,239616.19
1508,181228.19
1509,160282.81
1510,142178.4
1511,146895.38
1512,173617.1
1513,142552.6
1514,162344.69
1515,194878.66
1516,163685.83
1517,162535.9
1518,132411.0
1519,222542.48
1520,131490.97
1521,133544.61
1522,166913.28
1523,104722.484
1524,120558.74
1525,126607.6
1526,126731.516
1527,103171.11
1528,138411.14
1529,148504.3
1530,177770.47
1531,103827.27
1532,106108.555
1533,140655.94
1534,117556.58
1535,150058.36
1536,113565.46
1537,73953.88
1538,182599.3
1539,213403.12
1540,97032.555
1541,146167.52
1542,142357.22
1543,195997.05
1544,78712.44
1545,105270.18
1546,126453.11
1547,119629.11
1548,132898.77
1549,115667.56
1550,142377.25
1551,116309.99
1552,136674.8
1553,161685.16
1554,106350.13
1555,161411.05
1556,84847.99
1557,124659.31
1558,96084.39
1559,106739.17
1560,132307.17
1561,147000.92
1562,129509.9
1563,126592.13
1564,156419.38
1565,147386.39
1566,241507.64
1567,72748.35
1568,205052.25
1569,129233.66
1570,131983.78
1571,129164.01
1572,148687.22
1573,276716.3
1574,114155.53
1575,224806.03
1576,223594.77
1577,193946.47
1578,150027.77
1579,144968.16
1580,184393.47
1581,141529.17
1582,130891.836
1583,338170.56
1584,242324.88
1585,144349.67
1586,83163.66
1587,101354.98
1588,149930.66
1589,99999.984
1590,134189.27
1591,96022.79
1592,129122.79
1593,133296.9
1594,146370.19
1595,112856.3
1596,240275.72
1597,190289.81
1598,212282.2
1599,187541.5
1600,189166.02
1601,79774.97
1602,103944.914
1603,81248.68
1604,287783.16
1605,252940.62
1606,173047.84
1607,162845.25
1608,215579.66
1609,193498.1
1610,147377.86
1611,141362.86
1612,168160.31
1613,166942.42
1614,136051.27
1615,91252.31
1616,75115.92
1617,95220.07
1618,130201.83
1619,138366.03
1620,165857.14
1621,138826.98
1622,133240.67
1623,295845.75
1624,212623.11
1625,130240.0
1626,164973.64
1627,178538.66
1628,289489.16
1629,184286.33
1630,391026.56
1631,199417.23
1632,232228.42
1633,176101.08
1634,186476.22
1635,179436.47
1636,163782.45
1637,187432.72
1638,210097.45
1639,176083.88
1640,256850.9
1641,170899.11
1642,223923.67
1643,224129.67
1644,221175.86
1645,185027.03
1646,158060.95
1647,164902.6
1648,132248.7
1649,136922.61
1650,122968.125
1651,124872.734
1652,97284.9
1653,98088.914
1654,150296.19
1655,150242.7
1656,142527.23
1657,151042.05
1658,149227.6
1659,132284.64
1660,149683.0
1661,464089.0
1662,392631.72
1663,361051.3
1664,395191.44
1665,293293.03
1666,339820.62
1667,401927.1
1668,320058.8
1669,299829.66
1670,338819.47
1671,257170.6
1672,476267.34
1673,316419.16
1674,242972.1
1675,181599.72
1676,189367.88
1677,214629.73
1678,478459.0
1679,428234.88
1680,328521.28
1681,253378.53
1682,301488.38
1683,178873.06
1684,174159.31
1685,170497.06
1686,177446.0
1687,171643.4
1688,185553.53
1689,190684.73
1690,188763.75
1691,180910.33
1692,280046.53
1693,171339.61
1694,177641.64
1695,166496.72
1696,267056.3
1697,168436.03
1698,351344.06
1699,292459.06
1700,241829.14
1701,261334.23
1702,241345.05
1703,240585.62
1704,280022.25
1705,221033.3
1706,453378.0
1707,208780.16
1708,200434.67
1709,261220.38
1710,214030.11
1711,252257.25
1712,257909.12
1713,279385.34
1714,215807.78
1715,199700.22
1716,180018.2
1717,178084.72
1718,144177.0
1719,207438.3
1720,241922.08
1721,177583.03
1722,128801.8
1723,156684.44
1724,209352.92
1725,235638.11
1726,194348.39
1727,168755.03
1728,183180.42
1729,163923.53
1730,164807.44
1731,123301.67
1732,129371.766
1733,119458.83
1734,121163.61
1735,139736.66
1736,118553.19
1737,339225.97
1738,208513.47
1739,267854.2
1740,214016.19
1741,177391.75
1742,169823.53
1743,175036.75
1744,297719.62
1745,225974.03
1746,226066.05
1747,221776.38
1748,229949.84
1749,152302.19
1750,134431.97
1751,235488.14
1752,118677.555
1753,147935.84
1754,195678.34
1755,167785.47
1756,132940.92
1757,125655.195
1758,143261.16
1759,158104.39
1760,158553.84
1761,147309.19
1762,175304.66
1763,176420.69
1764,113600.55
1765,180426.22
1766,175976.4
1767,211412.03
1768,155301.95
1769,176348.19
1770,154382.69
1771,134760.61
1772,134835.22
1773,122251.58
1774,135953.03
1775,141564.97
1776,122732.36
1777,111105.77
1778,148269.1
1779,109283.91
1780,179149.58
1781,133121.5
1782,92004.7
1783,134825.0
1784,98750.055
1785,118647.08
1786,140261.03
1787,169069.16
1788,60783.484
1789,105835.18
1790,82828.25
1791,172814.33
1792,157390.14
1793,144340.12
1794,152438.58
1795,138915.56
1796,128112.28
1797,122576.49
1798,122602.38
1799,118884.83
1800,127638.86
1801,117996.72
1802,148574.58
1803,152506.92
1804,138191.97
1805,141706.45
1806,116197.63
1807,128424.03
1808,125760.305
1809,115851.586
1810,144758.56
1811,99046.23
1812,105197.055
1813,122734.28
1814,87906.67
1815,66615.92
1816,91207.15
1817,100083.77
1818,138793.27
1819,106191.11
1820,61379.266
1821,108302.3
1822,159109.73
1823,46834.773
1824,134561.55
1825,134147.73
1826,86869.5
1827,103652.1
1828,139783.47
1829,112298.56
1830,139574.31
1831,151549.67
1832,84386.38
1833,135750.2
1834,105364.625
1835,151173.47
1836,131019.914
1837,94781.52
1838,119197.54
1839,86321.02
1840,154850.27
1841,150375.55
1842,78794.14
1843,135306.98
1844,140872.83
1845,137405.94
1846,153858.67
1847,152461.45
1848,51719.945
1849,124010.086
1850,123524.695
1851,155031.05
1852,132228.7
1853,142702.97
1854,171617.5
1855,141574.17
1856,221073.61
1857,158194.33
1858,131628.06
1859,121623.734
1860,142967.67
1861,124032.38
1862,289720.44
1863,284112.25
1864,284112.25
1865,353364.44
1866,345039.8
1867,236143.56
1868,307144.66
1869,197703.22
1870,249058.03
1871,249750.34
1872,169456.19
1873,228572.25
1874,142281.22
1875,202014.56
1876,191051.06
1877,218257.27
1878,211217.2
1879,132631.7
1880,133550.95
1881,238041.56
1882,245905.56
1883,192248.94
1884,207015.97
1885,268804.28
1886,326909.6
1887,211651.5
1888,274799.94
1889,170410.11
1890,129312.54
1891,138195.73
1892,107279.71
1893,128052.086
1894,127392.79
1895,139665.48
1896,125114.83
1897,110399.91
1898,110209.1
1899,152505.94
1900,137658.86
1901,172559.52
1902,141477.6
1903,226510.66
1904,144812.88
1905,196483.89
1906,175463.97
1907,192089.19
1908,121816.01
1909,133394.6
1910,125552.04
1911,212604.19
1912,276263.22
1913,152632.39
1914,79715.61
1915,318337.1
1916,63344.906
1917,262336.47
1918,137078.5
1919,165862.39
1920,156801.28
1921,432718.4
1922,345058.28
1923,199711.9
1924,227036.58
1925,215052.0
1926,390927.3
1927,132574.27
1928,159617.58
1929,124506.805
1930,128918.65
1931,145174.7
1932,139770.83
1933,175842.06
1934,175171.92
1935,168652.25
1936,175275.08
1937,184413.55
1938,180401.73
1939,254387.27
1940,188438.81
1941,173838.23
1942,183414.94
1943,210336.39
1944,367960.12
1945,389290.1
1946,149283.7
1947,317531.88
1948,169554.62
1949,247689.03
1950,178537.52
1951,258996.94
1952,225356.66
1953,172140.25
1954,186096.8
1955,132791.31
1956,262187.28
1957,155384.89
1958,315220.4
1959,129695.18
1960,115867.15
1961,119227.22
1962,99179.1
1963,108457.41
1964,108950.87
1965,138337.66
1966,146493.88
1967,303050.94
1968,476254.34
1969,401234.3
1970,449725.25
1971,433143.7
1972,376965.44
1973,270626.78
1974,322226.9
1975,411224.5
1976,268658.06
1977,371187.06
1978,354010.3
1979,320226.4
1980,195505.62
1981,344135.94
1982,223021.0
1983,207073.92
1984,170501.5
1985,219523.75
1986,213546.34
1987,175825.17
1988,171879.11
1989,192275.7
1990,223568.48
1991,236446.78
1992,213162.39
1993,170609.11
1994,258319.36
1995,181335.16
1996,248215.33
1997,310925.6
1998,341383.62
1999,266246.47
2000,310201.84
2001,265593.8
2002,254883.22
2003,252263.94
2004,272361.28
2005,224749.06
2006,239887.3
2007,244014.94
2008,206902.2
2009,191686.64
2010,199638.06
2011,159308.38
2012,178297.89
2013,185629.61
2014,183623.27
2015,205868.56
2016,190854.44
2017,199737.83
2018,119985.19
2019,134640.5
2020,119641.125
2021,114508.4
2022,171538.78
2023,141488.4
2024,233673.69
2025,421547.47
2026,178851.88
2027,157139.44
2028,160433.55
2029,165590.03
2030,273277.62
2031,239956.61
2032,255695.12
2033,268657.62
2034,169990.5
2035,210403.4
2036,190281.9
2037,203352.4
2038,321199.88
2039,223155.58
2040,333445.47
2041,260437.22
2042,196697.69
2043,166576.98
2044,168616.52
2045,215334.06
2046,142542.33
2047,142301.02
2048,138420.33
2049,136162.62
2050,189444.78
2051,102615.266
2052,132458.64
2053,145314.52
2054,83846.45
2055,162136.11
2056,124978.516
2057,121360.35
2058,221595.84
2059,126465.43
2060,160509.95
2061,179546.83
2062,129631.016
2063,115699.19
2064,140211.58
2065,124942.17
2066,165568.62
2067,115801.6
2068,138152.1
2069,87251.586
2070,110190.945
2071,97868.28
2072,120994.555
